Time_ms,CKA_Before,CKA_After
4.000000000000000000e+03,9.994748944652324107e-01,9.999999923000529867e-01
8.000000000000000000e+03,9.983509026437389355e-01,1.000000002913329133e+00
1.200000000000000000e+04,9.983849446384274184e-01,1.000000000000000000e+00
1.600000000000000000e+04,9.952870831927475015e-01,1.000000007572222627e+00
2.000000000000000000e+04,9.993767012807788230e-01,1.000000000742017114e+00
2.400000000000000000e+04,9.915893622016420661e-01,1.000000000000000000e+00
2.800000000000000000e+04,9.980204950303447342e-01,1.000000006209830872e+00
3.200000000000000000e+04,9.867012415126877878e-01,9.999999998783578592e-01
3.600000000000000000e+04,9.879985001956930191e-01,1.000000000000000000e+00
4.000000000000000000e+04,9.945137019303380566e-01,1.000000005473896003e+00
4.400000000000000000e+04,9.980565630842228586e-01,9.999999982057785619e-01
4.800000000000000000e+04,9.851546015058244565e-01,1.000000000000000000e+00
5.200000000000000000e+04,9.931123460068994602e-01,9.999999984004059872e-01
5.600000000000000000e+04,9.966116816717751625e-01,1.000000004701468326e+00
6.000000000000000000e+04,9.862947612483891069e-01,1.000000000000000000e+00
6.400000000000000000e+04,9.879788059969337732e-01,1.000000001033958030e+00
6.800000000000000000e+04,9.908424122175392146e-01,1.000000012316265785e+00
7.200000000000000000e+04,9.831445729793334420e-01,1.000000000000000000e+00
7.600000000000000000e+04,9.843441877803024154e-01,1.000000000115560006e+00
8.000000000000000000e+04,9.904255033999073143e-01,9.999999982483532834e-01
8.400000000000000000e+04,9.795360042154789282e-01,1.000000000000000000e+00
8.800000000000000000e+04,9.747111576734757143e-01,9.999999978165237113e-01
9.200000000000000000e+04,9.523937211748289000e-01,1.000000000024328317e+00
9.600000000000000000e+04,9.798759414346850383e-01,1.000000000000000000e+00
