Time_ms,CKA_Before,CKA_After
4.000000000000000000e+03,9.995211668951170525e-01,9.998386502205108828e-01
8.000000000000000000e+03,9.984077777242174045e-01,9.998901814830546408e-01
1.200000000000000000e+04,9.977786832196371414e-01,1.000000000000000000e+00
1.600000000000000000e+04,9.955246479170662965e-01,9.980320877444986971e-01
2.000000000000000000e+04,9.993521962968671124e-01,9.999392981431922678e-01
2.400000000000000000e+04,9.900326315359193607e-01,1.000000000000000000e+00
2.800000000000000000e+04,9.984916657087754555e-01,9.992283560487689176e-01
3.200000000000000000e+04,9.884369904350260860e-01,9.973637960395034252e-01
3.600000000000000000e+04,9.744865124170877246e-01,1.000000000000000000e+00
4.000000000000000000e+04,9.763826510188531316e-01,9.877600060677041993e-01
4.400000000000000000e+04,9.898314496996450940e-01,9.990959118823615759e-01
4.800000000000000000e+04,9.870624157056516745e-01,1.000000000000000000e+00
5.200000000000000000e+04,9.948949044395466457e-01,9.982757777948768618e-01
5.600000000000000000e+04,9.917175362852155285e-01,9.993303503308977875e-01
6.000000000000000000e+04,9.833277961033947134e-01,1.000000000000000000e+00
6.400000000000000000e+04,9.889544984698295238e-01,9.967127597027894970e-01
6.800000000000000000e+04,9.895252681143429374e-01,9.992068032829128921e-01
7.200000000000000000e+04,9.860756575635500898e-01,1.000000000000000000e+00
7.600000000000000000e+04,9.792641852644025091e-01,9.921177781905446968e-01
8.000000000000000000e+04,9.908023545389272879e-01,9.990523299392388701e-01
8.400000000000000000e+04,9.900060087016651078e-01,1.000000000000000000e+00
8.800000000000000000e+04,9.811093262385348623e-01,9.909757247323892626e-01
9.200000000000000000e+04,9.852851936099480401e-01,9.977493188819106518e-01
9.600000000000000000e+04,9.785082793965631520e-01,1.000000000000000000e+00
